Filename	Jitter local	Jitter local absolute	Jitter rap	Jitter ppq5	Jitter ddp	Shimmer local	Shimmer local dB	Shimmer apq3	Shimmer apq5	Shimmer apq11	Shimmer dda 	Mean F0	mean SD	min pitch	max pitch	Mean HNR	SD HNR	F1	F2	F3	F4
audio-1704829161859.wav 	 0.011654164147385997 	 0.00010622378274418956 	 0.00562610488523494 	 0.005971772522848099 	 0.01687831465570482 	 0.07598769792394049 	 0.7099637688948537 	 0.02932378270211329 	 0.03916791071308709 	 0.08879248957267975 	 0.08797134810633987 	 110.0509367437715 	 4.052016005464099 	 98.0809595106433 	 118.11223182785118 	 16.12861172303206 	 7.709815828886404 	 779.3550474264664 	 1779.837726040814 	 2813.026785012493 	 3842.314040216164 
audio-1705058419620.wav 	 0.011654164147385997 	 0.00010622378274418956 	 0.00562610488523494 	 0.005971772522848099 	 0.01687831465570482 	 0.07598769792394049 	 0.7099637688948537 	 0.02932378270211329 	 0.03916791071308709 	 0.08879248957267975 	 0.08797134810633987 	 110.0509367437715 	 4.052016005464099 	 98.0809595106433 	 118.11223182785118 	 16.12861172303206 	 7.709815828886404 	 779.3550474264664 	 1779.837726040814 	 2813.026785012493 	 3842.314040216164 
audio-1705058536037.wav 	 0.011654164147385997 	 0.00010622378274418956 	 0.00562610488523494 	 0.005971772522848099 	 0.01687831465570482 	 0.07598769792394049 	 0.7099637688948537 	 0.02932378270211329 	 0.03916791071308709 	 0.08879248957267975 	 0.08797134810633987 	 110.0509367437715 	 4.052016005464099 	 98.0809595106433 	 118.11223182785118 	 16.12861172303206 	 7.709815828886404 	 779.3550474264664 	 1779.837726040814 	 2813.026785012493 	 3842.314040216164 
audio-1705060600077.wav 	 0.011654164147385997 	 0.00010622378274418956 	 0.00562610488523494 	 0.005971772522848099 	 0.01687831465570482 	 0.07598769792394049 	 0.7099637688948537 	 0.02932378270211329 	 0.03916791071308709 	 0.08879248957267975 	 0.08797134810633987 	 110.0509367437715 	 4.052016005464099 	 98.0809595106433 	 118.11223182785118 	 16.12861172303206 	 7.709815828886404 	 779.3550474264664 	 1779.837726040814 	 2813.026785012493 	 3842.314040216164 
audio-1705088722832.wav 	 0.011654164147385997 	 0.00010622378274418956 	 0.00562610488523494 	 0.005971772522848099 	 0.01687831465570482 	 0.07598769792394049 	 0.7099637688948537 	 0.02932378270211329 	 0.03916791071308709 	 0.08879248957267975 	 0.08797134810633987 	 110.0509367437715 	 4.052016005464099 	 98.0809595106433 	 118.11223182785118 	 16.12861172303206 	 7.709815828886404 	 779.3550474264664 	 1779.837726040814 	 2813.026785012493 	 3842.314040216164 
audio-1705138063720.wav 	 0.016261163686529266 	 0.00013859579781528458 	 0.008105996015821253 	 0.007791861506808822 	 0.02431798804746376 	 0.05765432934480073 	 0.6191512715332255 	 0.02488876112302581 	 0.029697797182145734 	 0.040840528988996934 	 0.07466628336907744 	 117.92550400942153 	 6.444123938791284 	 100.47498608281488 	 141.72435357903396 	 18.417308312721758 	 5.148514701475401 	 625.3066282671671 	 1674.7192403396614 	 3043.547074563492 	 3858.0705436683547 
audio-1705138254098.wav 	 0.016261163686529266 	 0.00013859579781528458 	 0.008105996015821253 	 0.007791861506808822 	 0.02431798804746376 	 0.05765432934480073 	 0.6191512715332255 	 0.02488876112302581 	 0.029697797182145734 	 0.040840528988996934 	 0.07466628336907744 	 117.92550400942153 	 6.444123938791284 	 100.47498608281488 	 141.72435357903396 	 18.417308312721758 	 5.148514701475401 	 625.3066282671671 	 1674.7192403396614 	 3043.547074563492 	 3858.0705436683547 
audio-1705138387390.wav 	 0.016261163686529266 	 0.00013859579781528458 	 0.008105996015821253 	 0.007791861506808822 	 0.02431798804746376 	 0.05765432934480073 	 0.6191512715332255 	 0.02488876112302581 	 0.029697797182145734 	 0.040840528988996934 	 0.07466628336907744 	 117.92550400942153 	 6.444123938791284 	 100.47498608281488 	 141.72435357903396 	 18.417308312721758 	 5.148514701475401 	 625.3066282671671 	 1674.7192403396614 	 3043.547074563492 	 3858.0705436683547 
audio-1705138448850.wav 	 0.016261163686529266 	 0.00013859579781528458 	 0.008105996015821253 	 0.007791861506808822 	 0.02431798804746376 	 0.05765432934480073 	 0.6191512715332255 	 0.02488876112302581 	 0.029697797182145734 	 0.040840528988996934 	 0.07466628336907744 	 117.92550400942153 	 6.444123938791284 	 100.47498608281488 	 141.72435357903396 	 18.417308312721758 	 5.148514701475401 	 625.3066282671671 	 1674.7192403396614 	 3043.547074563492 	 3858.0705436683547 
audio-1705138502107.wav 	 0.016261163686529266 	 0.00013859579781528458 	 0.008105996015821253 	 0.007791861506808822 	 0.02431798804746376 	 0.05765432934480073 	 0.6191512715332255 	 0.02488876112302581 	 0.029697797182145734 	 0.040840528988996934 	 0.07466628336907744 	 117.92550400942153 	 6.444123938791284 	 100.47498608281488 	 141.72435357903396 	 18.417308312721758 	 5.148514701475401 	 625.3066282671671 	 1674.7192403396614 	 3043.547074563492 	 3858.0705436683547 
audio-1705138615993.wav 	 0.016261163686529266 	 0.00013859579781528458 	 0.008105996015821253 	 0.007791861506808822 	 0.02431798804746376 	 0.05765432934480073 	 0.6191512715332255 	 0.02488876112302581 	 0.029697797182145734 	 0.040840528988996934 	 0.07466628336907744 	 117.92550400942153 	 6.444123938791284 	 100.47498608281488 	 141.72435357903396 	 18.417308312721758 	 5.148514701475401 	 625.3066282671671 	 1674.7192403396614 	 3043.547074563492 	 3858.0705436683547 
